lat,lon,metadata/0,metadata/1
-33.907734,25.5544,ZANelsonMandelaBayHelenvale,
-33.910441,25.555531,ZANelsonMandelaBayHelenvale,
-33.910902,25.553066,ZANelsonMandelaBayHelenvale,
-33.908872,25.55266,ZANelsonMandelaBayHelenvale,
-33.910655,25.547553,ZANelsonMandelaBayHelenvale,
-33.9120166667,25.5413866667,ZANelsonMandelaBayHelenvale,
-33.909441,25.54607,ZANelsonMandelaBayHelenvale,
-33.906135,25.547939,ZANelsonMandelaBayHelenvale,
-33.906051,25.551743,ZANelsonMandelaBayHelenvale,
-33.9091583333,25.5420583333,ZANelsonMandelaBayHelenvale,
-33.910557,25.538727,ZANelsonMandelaBayHelenvale,
-33.907721,25.539237,ZANelsonMandelaBayHelenvale,
-33.905915,25.540957,ZANelsonMandelaBayHelenvale,
-33.907363,25.54244,ZANelsonMandelaBayHelenvale,
-33.904622,25.544308,ZANelsonMandelaBayHelenvale,
-33.903531,25.548189,ZANelsonMandelaBayHelenvale,
-33.901628,25.546569,ZANelsonMandelaBayHelenvale,
-33.9020933333,25.5434233333,ZANelsonMandelaBayHelenvale,
-33.909751,25.549899,ZANelsonMandelaBayHelenvale,
-33.911478,25.535508,ZANelsonMandelaBayHelenvale,
-33.914263,25.532189,ZANelsonMandelaBayHelenvale,
-33.915837,25.533853,ZANelsonMandelaBayHelenvale,
-33.913565,25.536604,ZANelsonMandelaBayHelenvale,
-25.3529516667,31.6463316667,ZAKrugerNationalParkIPZ,
-25.37138,31.6383383333,ZAKrugerNationalParkIPZ,
-25.342125,31.635444,ZAKrugerNationalParkIPZ,
-25.363075,31.6687116667,ZAKrugerNationalParkIPZ,
-25.3565283333,31.626065,ZAKrugerNationalParkIPZ,
-25.346003,31.618135,ZAKrugerNationalParkIPZ,
-25.3481633333,31.6569733333,ZAKrugerNationalParkIPZ,
-25.360839,31.637771,ZAKrugerNationalParkIPZ,
-25.370371,31.621675,ZAKrugerNationalParkIPZ,
-25.3370533333,31.6249516667,ZAKrugerNationalParkIPZ,
-25.279837,31.551397,ZAKrugerNationalParkIPZ,
-25.3339083333,31.6600716667,ZAKrugerNationalParkIPZ,
-25.3500516667,31.6349,ZAKrugerNationalParkIPZ,
-25.3790483333,31.6524166667,ZAKrugerNationalParkIPZ,
-25.3577716667,31.6170716667,ZAKrugerNationalParkIPZ,
-25.364365,31.629235,ZAKrugerNationalParkIPZ,
-25.3518833333,31.66928,ZAKrugerNationalParkIPZ,
-25.3341716667,31.6474216667,ZAKrugerNationalParkIPZ,
-25.3588233333,31.6576516667,ZAKrugerNationalParkIPZ,
-25.377787,31.630915,ZAKrugerNationalParkIPZ,
-25.382595,31.6399966667,ZAKrugerNationalParkIPZ,
-25.37229,31.6626716667,ZAKrugerNationalParkIPZ,
-25.3431933333,31.6490983333,ZAKrugerNationalParkIPZ,
-25.3260433333,31.6362866667,ZAKrugerNationalParkIPZ,
-25.371875,31.6523416667,ZAKrugerNationalParkIPZ,
-25.36575,31.6125466667,ZAKrugerNationalParkIPZ,
-25.3682033333,31.6021166667,ZAKrugerNationalParkIPZ,
-25.3782233333,31.6034883333,ZAKrugerNationalParkIPZ,
-25.3744366667,31.5906083333,ZAKrugerNationalParkIPZ,
-25.3703616667,31.5719116667,ZAKrugerNationalParkIPZ,
-25.3652466667,31.5607166667,ZAKrugerNationalParkIPZ,
-25.3543733333,31.585015,ZAKrugerNationalParkIPZ,
-25.354195,31.522397,ZAKrugerNationalParkIPZ,
-25.3782933333,31.6035216667,ZAKrugerNationalParkIPZ,
-25.3340983333,31.5792266667,ZAKrugerNationalParkIPZ,
-25.328655,31.591508,ZAKrugerNationalParkIPZ,
-25.358568,31.604943,ZAKrugerNationalParkIPZ,
-25.380135,31.6182183333,ZAKrugerNationalParkIPZ,
-25.34041,31.586465,ZAKrugerNationalParkIPZ,
-25.3632183333,31.5491566667,ZAKrugerNationalParkIPZ,
-25.3424316667,31.6677933333,ZAKrugerNationalParkIPZ,
-25.3629683333,31.5379516667,ZAKrugerNationalParkIPZ,
-25.365825,31.582507,ZAKrugerNationalParkIPZ,
-25.359225,31.5728183333,ZAKrugerNationalParkIPZ,
-25.34586,31.57574,ZAKrugerNationalParkIPZ,
-25.3188216667,31.5386833333,ZAKrugerNationalParkIPZ,
-25.312495,31.5624133333,ZAKrugerNationalParkIPZ,
-25.3243583333,31.5740316667,ZAKrugerNationalParkIPZ,
-25.3228083333,31.5818416667,ZAKrugerNationalParkIPZ,
-25.338365,31.5991516667,ZAKrugerNationalParkIPZ,
-25.3464216667,31.6079116667,ZAKrugerNationalParkIPZ,
-25.303995,31.536935,ZAKrugerNationalParkIPZ,
-25.3422,31.6354583333,ZAKrugerNationalParkIPZ,
-25.3309766667,31.5664533333,ZAKrugerNationalParkIPZ,
-25.33697,31.552495,ZAKrugerNationalParkIPZ,
-25.3407783333,31.5385216667,ZAKrugerNationalParkIPZ,
-25.342275,31.5639816667,ZAKrugerNationalParkIPZ,
-25.3503866667,31.5959483333,ZAKrugerNationalParkIPZ,
-25.35093,31.53634,ZAKrugerNationalParkIPZ,
-25.3410383333,31.5251333333,ZAKrugerNationalParkIPZ,
-25.3276916667,31.5301966667,ZAKrugerNationalParkIPZ,
-25.3260866667,31.5572866667,ZAKrugerNationalParkIPZ,
-25.3490633333,31.5509983333,ZAKrugerNationalParkIPZ,
-25.325225,31.6061616667,ZAKrugerNationalParkIPZ,
-25.3296433333,31.5411816667,ZAKrugerNationalParkIPZ,
-25.36189,31.59363,ZAKrugerNationalParkIPZ,
-25.3183666667,31.5508083333,ZAKrugerNationalParkIPZ,
-25.3353216667,31.6117116667,ZAKrugerNationalParkIPZ,
-25.38556,31.6061733333,ZAKrugerNationalParkIPZ,
-25.3505816667,31.59601,ZAKrugerNationalParkIPZ,
-25.25798,31.52757,ZAKrugerNationalParkIPZ,
-25.38254,31.5896366667,ZAKrugerNationalParkIPZ,
-25.3342833333,31.6473633333,ZAKrugerNationalParkIPZ,
-25.354405,31.560145,ZAKrugerNationalParkIPZ,
-25.385305,31.5969133333,ZAKrugerNationalParkIPZ,
-25.3265366667,31.620925,ZAKrugerNationalParkIPZ,
-25.267772,31.52565,ZAKrugerNationalParkIPZ,
-25.3565716667,31.626035,ZAKrugerNationalParkIPZ,
-25.243342,31.493803,ZAKrugerNationalParkIPZ,
-25.3650183333,31.64589,ZAKrugerNationalParkIPZ,
-25.231032,31.520307,ZAKrugerNationalParkIPZ,
-25.2281,31.508593,ZAKrugerNationalParkIPZ,
-25.3777316667,31.6308866667,ZAKrugerNationalParkIPZ,
-25.264501,31.600995,ZAKrugerNationalParkIPZ,
-25.250178,31.540537,ZAKrugerNationalParkIPZ,
-25.259184,31.566981,ZAKrugerNationalParkIPZ,
-25.465355,31.4330216667,ZAKrugerNationalParkBergenDal,
-25.46193,31.44526,ZAKrugerNationalParkBergenDal,
-25.461538,31.454888,ZAKrugerNationalParkBergenDal,
-25.4484983333,31.4681666667,ZAKrugerNationalParkBergenDal,
-25.4556116667,31.45606,ZAKrugerNationalParkBergenDal,
-25.4521433333,31.4407666667,ZAKrugerNationalParkBergenDal,
-25.4599033333,31.42262,ZAKrugerNationalParkBergenDal,
-25.448765,31.42532,ZAKrugerNationalParkBergenDal,
-25.443355,31.4649266667,ZAKrugerNationalParkBergenDal,
-25.432675,31.4566,ZAKrugerNationalParkBergenDal,
-25.43351,31.435565,ZAKrugerNationalParkBergenDal,
-25.440697,31.430065,ZAKrugerNationalParkBergenDal,
-25.443782,31.406995,ZAKrugerNationalParkBergenDal,
-25.4340833333,31.3969616667,ZAKrugerNationalParkBergenDal,
-25.40698,31.4467383333,ZAKrugerNationalParkBergenDal,
-25.3846816667,31.438515,ZAKrugerNationalParkBergenDal,
-25.4002033333,31.4013566667,ZAKrugerNationalParkBergenDal,
-25.424573,31.431018,ZAKrugerNationalParkBergenDal,
-25.431065,31.407042,ZAKrugerNationalParkBergenDal,
-25.4272283333,31.4196333333,ZAKrugerNationalParkBergenDal,
-25.4106683333,31.4347316667,ZAKrugerNationalParkBergenDal,
-25.458795,31.4654666667,ZAKrugerNationalParkBergenDal,
-25.4163533333,31.4530166667,ZAKrugerNationalParkBergenDal,
-25.3927566667,31.4210416667,ZAKrugerNationalParkBergenDal,
-25.407115,31.42016,ZAKrugerNationalParkBergenDal,
-25.410085,31.39047,ZAKrugerNationalParkBergenDal,
